Epoch: 5, K: 0.0025,#Test: 285, #Hits: 26,Rl: 0.0912280701754386, Pr: 0.0114035087719298
Epoch: 6, K: 0.0025,#Test: 285, #Hits: 31,Rl: 0.108771929824561, Pr: 0.0135964912280702
Epoch: 7, K: 0.0025,#Test: 285, #Hits: 27,Rl: 0.0947368421052632, Pr: 0.0118421052631579
Epoch: 8, K: 0.0025,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 9, K: 0.0025,#Test: 285, #Hits: 17,Rl: 0.0596491228070175, Pr: 0.00745614035087719
Epoch: 10, K: 0.0025,#Test: 285, #Hits: 31,Rl: 0.108771929824561, Pr: 0.0135964912280702
Epoch: 11, K: 0.0025,#Test: 285, #Hits: 37,Rl: 0.129824561403509, Pr: 0.0162280701754386
Epoch: 12, K: 0.0025,#Test: 285, #Hits: 27,Rl: 0.0947368421052632, Pr: 0.0118421052631579
Epoch: 13, K: 0.0025,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 14, K: 0.0025,#Test: 285, #Hits: 34,Rl: 0.119298245614035, Pr: 0.0149122807017544
Epoch: 15, K: 0.0025,#Test: 285, #Hits: 25,Rl: 0.087719298245614, Pr: 0.0109649122807018
Epoch: 5, K: 0.0065,#Test: 285, #Hits: 34,Rl: 0.119298245614035, Pr: 0.0149122807017544
Epoch: 6, K: 0.0065,#Test: 285, #Hits: 32,Rl: 0.112280701754386, Pr: 0.0140350877192982
Epoch: 7, K: 0.0065,#Test: 285, #Hits: 35,Rl: 0.12280701754386, Pr: 0.0153508771929825
Epoch: 8, K: 0.0065,#Test: 285, #Hits: 22,Rl: 0.0771929824561404, Pr: 0.00964912280701754
Epoch: 9, K: 0.0065,#Test: 285, #Hits: 21,Rl: 0.0736842105263158, Pr: 0.00921052631578947
Epoch: 10, K: 0.0065,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 11, K: 0.0065,#Test: 285, #Hits: 30,Rl: 0.105263157894737, Pr: 0.0131578947368421
Epoch: 12, K: 0.0065,#Test: 285, #Hits: 24,Rl: 0.0842105263157895, Pr: 0.0105263157894737
Epoch: 13, K: 0.0065,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 14, K: 0.0065,#Test: 285, #Hits: 31,Rl: 0.108771929824561, Pr: 0.0135964912280702
Epoch: 15, K: 0.0065,#Test: 285, #Hits: 26,Rl: 0.0912280701754386, Pr: 0.0114035087719298
Epoch: 5, K: 0.0105,#Test: 285, #Hits: 26,Rl: 0.0912280701754386, Pr: 0.0114035087719298
Epoch: 6, K: 0.0105,#Test: 285, #Hits: 30,Rl: 0.105263157894737, Pr: 0.0131578947368421
Epoch: 7, K: 0.0105,#Test: 285, #Hits: 30,Rl: 0.105263157894737, Pr: 0.0131578947368421
Epoch: 8, K: 0.0105,#Test: 285, #Hits: 33,Rl: 0.115789473684211, Pr: 0.0144736842105263
Epoch: 9, K: 0.0105,#Test: 285, #Hits: 27,Rl: 0.0947368421052632, Pr: 0.0118421052631579
Epoch: 10, K: 0.0105,#Test: 285, #Hits: 33,Rl: 0.115789473684211, Pr: 0.0144736842105263
Epoch: 11, K: 0.0105,#Test: 285, #Hits: 24,Rl: 0.0842105263157895, Pr: 0.0105263157894737
Epoch: 12, K: 0.0105,#Test: 285, #Hits: 34,Rl: 0.119298245614035, Pr: 0.0149122807017544
Epoch: 13, K: 0.0105,#Test: 285, #Hits: 21,Rl: 0.0736842105263158, Pr: 0.00921052631578947
Epoch: 14, K: 0.0105,#Test: 285, #Hits: 27,Rl: 0.0947368421052632, Pr: 0.0118421052631579
Epoch: 15, K: 0.0105,#Test: 285, #Hits: 36,Rl: 0.126315789473684, Pr: 0.0157894736842105
Epoch: 5, K: 0.0145,#Test: 285, #Hits: 30,Rl: 0.105263157894737, Pr: 0.0131578947368421
Epoch: 6, K: 0.0145,#Test: 285, #Hits: 27,Rl: 0.0947368421052632, Pr: 0.0118421052631579
Epoch: 7, K: 0.0145,#Test: 285, #Hits: 37,Rl: 0.129824561403509, Pr: 0.0162280701754386
Epoch: 8, K: 0.0145,#Test: 285, #Hits: 35,Rl: 0.12280701754386, Pr: 0.0153508771929825
Epoch: 9, K: 0.0145,#Test: 285, #Hits: 28,Rl: 0.0982456140350877, Pr: 0.012280701754386
Epoch: 10, K: 0.0145,#Test: 285, #Hits: 34,Rl: 0.119298245614035, Pr: 0.0149122807017544
