#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE
1,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.48982352144154
2,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.47712559495268
3,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.46745144797686
4,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.45692654319421
5,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.44732159667701
6,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.43719864456674
7,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.42637435148324
8,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.41575055204171
9,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.40595421650495
10,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.39709456466948
11,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.38960721111689
12,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.38314692384502
13,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.37723677821868
14,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.37159672635873
15,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.36625626763975
16,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.3609805158368
17,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.35585443076625
18,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.35099215435583
19,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.34648621332951
20,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.34228670425447
21,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.33828774005698
22,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.33446512681898
23,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.33075024568318
24,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.3271332864059
25,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.32359543414195
26,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.32015102290967
27,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.316844988747
28,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.31371829286419
29,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.31073650552643
30,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.30789375158046
31,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.30520142544701
32,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.30268626681217
33,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.3003163844242
34,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.29801002557322
35,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.29577678090958
36,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.29359618956943
37,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.29147250248802
38,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.28944785940214
39,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.28746584014203
40,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.28549336622792
41,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.28360175921265
42,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.28176974540443
43,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.28000033225207
44,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.27825805516464
45,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.27659031615643
46,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.27493224874807
47,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.27332945003909
48,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.2717373193337
49,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.27021281042132
50,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.26872934216298
1,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.26725312627504
2,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.26589796926893
3,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.26457918933112
4,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.26327166942388
5,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.26202412862191
6,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.26083013933767
7,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.25967578766331
8,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.25853183580119
9,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.25741771214006
10,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.2563222208673
11,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.25524405377129
12,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.25417930769206
13,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.25315086003453
14,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.25214431739316
15,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.25111721183581
16,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.25018935993744
17,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24922640405458
18,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24829842164153
19,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24737818982971
20,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24647663839297
21,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24560275048486
22,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24471587939787
23,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24385183614672
24,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24301311898439
25,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24217443012145
26,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24135696385729
27,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.24055375726213
28,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23977464439303
29,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23900825546396
30,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23825992176556
31,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.2375314478599
32,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23680472462898
33,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23610621652726
34,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23542377280838
35,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23476893414724
36,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23412310560205
37,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23351358802711
38,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23292443541407
39,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23235055158235
40,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23179053126427
41,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23124955703545
42,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23068701432046
43,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.23018544104496
44,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.229690089318
45,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.22919854141221
46,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.22870548766282
47,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.22824036357358
48,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.22780723652182
49,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.22736757382382
50,10,0.001,1,0.01,0.001,0.0001,0.001,0.006,1.22694313954916
1,10,0.001,1,0.01,0.001,0.0001,0.001,0.011,1.22652862634737
2,10,0.001,1,0.01,0.001,0.0001,0.001,0.011,1.22616111944999
3,10,0.001,1,0.01,0.001,0.0001,0.001,0.011,1.22578786077138
4,10,0.001,1,0.01,0.001,0.0001,0.001,0.011,1.22545303562291
5,10,0.001,1,0.01,0.001,0.0001,0.001,0.011,1.22509724405697
