#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE
1,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.48793326575296
2,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.47093016826241
3,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.46006901978899
4,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.449714558484
5,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.44019416682135
6,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.43053783409277
1,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.49234987788144
2,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.46170670629401
3,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.44095175045708
4,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.42484353971701
5,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.41405201132711
6,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.40420296592487
7,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.39644606925317
8,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.39092241571249
9,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.38592214518263
10,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.38185374566579
11,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.378241192729
12,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.37466110594003
13,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.37135599383101
14,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.36832635996501
15,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.36539551269715
16,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.36277383126331
17,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.36050587708283
18,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.35836657267981
19,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.35637178302907
20,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.35475366300361
21,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.35325451946632
22,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.35172241529207
23,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.3502263887933
1,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.48812297698137
2,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.46331193894583
3,10,0.005,10,0.01,0.005,0.005,0.0015,0.0015,1.44208658934966
