#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE
20,10,0.005,0.002,0.8,0.8,2,0.77,0.77,1.0569785327
32,10,0.005,0.002,0.8,0.8,2,0.77,0.88,1.1004063152
32,10,0.005,0.002,0.8,0.8,2,0.77,0.99,1.0990481284
33,10,0.005,0.002,0.8,0.8,2,0.77,1.1,1.0982739002
32,10,0.005,0.002,0.8,0.8,2,0.77,1.21,1.0968457877
33,10,0.005,0.002,0.8,0.8,2,0.77,1.32,1.0967886665
33,10,0.005,0.002,0.8,0.8,2,0.77,1.43,1.0931044475
33,10,0.005,0.002,0.8,0.8,2,0.77,1.54,1.0901137427
33,10,0.005,0.002,0.8,0.8,2,0.77,1.65,1.0897250863
33,10,0.005,0.002,0.8,0.8,2,0.77,1.76,1.0893113503
33,10,0.005,0.002,0.8,0.8,2,0.77,1.87,1.0904084949
33,10,0.005,0.002,0.8,0.8,2,0.77,1.98,1.0890626843
32,10,0.005,0.002,0.8,0.8,2,0.88,0.77,1.1026957445
33,10,0.005,0.002,0.8,0.8,2,0.88,0.88,1.0992342044
32,10,0.005,0.002,0.8,0.8,2,0.88,0.99,1.0980288531
33,10,0.005,0.002,0.8,0.8,2,0.88,1.1,1.095161709
33,10,0.005,0.002,0.8,0.8,2,0.88,1.21,1.0936849454
33,10,0.005,0.002,0.8,0.8,2,0.88,1.32,1.091268978
33,10,0.005,0.002,0.8,0.8,2,0.88,1.43,1.0908009429
33,10,0.005,0.002,0.8,0.8,2,0.88,1.54,1.0914902828
32,10,0.005,0.002,0.8,0.8,2,0.88,1.65,1.0902945031
33,10,0.005,0.002,0.8,0.8,2,0.88,1.76,1.0894446732
33,10,0.005,0.002,0.8,0.8,2,0.88,1.87,1.0868586912
32,10,0.005,0.002,0.8,0.8,2,0.88,1.98,1.0848518354
32,10,0.005,0.002,0.8,0.8,2,0.99,0.77,1.0998504357
33,10,0.005,0.002,0.8,0.8,2,0.99,0.88,1.0967381108
33,10,0.005,0.002,0.8,0.8,2,0.99,0.99,1.0966613761
33,10,0.005,0.002,0.8,0.8,2,0.99,1.1,1.0946445286
33,10,0.005,0.002,0.8,0.8,2,0.99,1.21,1.0931348865
33,10,0.005,0.002,0.8,0.8,2,0.99,1.32,1.0903851028
33,10,0.005,0.002,0.8,0.8,2,0.99,1.43,1.08963298
33,10,0.005,0.002,0.8,0.8,2,0.99,1.54,1.0884573264
33,10,0.005,0.002,0.8,0.8,2,0.99,1.65,1.0873275201
33,10,0.005,0.002,0.8,0.8,2,0.99,1.76,1.0870412894
33,10,0.005,0.002,0.8,0.8,2,0.99,1.87,1.0872479241
32,10,0.005,0.002,0.8,0.8,2,0.99,1.98,1.0851891938
33,10,0.005,0.002,0.8,0.8,2,1.1,0.77,1.0979201551
33,10,0.005,0.002,0.8,0.8,2,1.1,0.88,1.095851388
33,10,0.005,0.002,0.8,0.8,2,1.1,0.99,1.0951609494
32,10,0.005,0.002,0.8,0.8,2,1.1,1.1,1.0942462998
32,10,0.005,0.002,0.8,0.8,2,1.1,1.21,1.0924792103
33,10,0.005,0.002,0.8,0.8,2,1.1,1.32,1.0897861282
33,10,0.005,0.002,0.8,0.8,2,1.1,1.43,1.0892882933
33,10,0.005,0.002,0.8,0.8,2,1.1,1.54,1.0884251014
33,10,0.005,0.002,0.8,0.8,2,1.1,1.65,1.0854520756
33,10,0.005,0.002,0.8,0.8,2,1.1,1.76,1.0878890927
33,10,0.005,0.002,0.8,0.8,2,1.1,1.87,1.0841542333
