#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE
1,10,0.001,0.7,0.77,0.015,0.019,0.0178144853169059,0.0218400413324706,2.23279394088159
2,10,0.001,0.7,0.77,0.015,0.019,0.0202344780085635,0.0243183985048229,2.21733584587737
3,10,0.001,0.7,0.77,0.015,0.019,0.0222757842692158,0.0264582398234301,2.19897848564566
4,10,0.001,0.7,0.77,0.015,0.019,0.0239542494367919,0.0282837441583539,2.17769924035114
5,10,0.001,0.7,0.77,0.015,0.019,0.0252926300946584,0.0298243587715611,2.15365190985331
6,10,0.001,0.7,0.77,0.015,0.019,0.0263154341384167,0.0311096137741323,2.12751984408011
7,10,0.001,0.7,0.77,0.015,0.019,0.0270484805251245,0.0321671762243765,2.09981805010284
8,10,0.001,0.7,0.77,0.015,0.019,0.0275148637414031,0.0330195501634527,2.07125078886058
9,10,0.001,0.7,0.77,0.015,0.019,0.0277357063989116,0.033683402306048,2.04215672470185
10,10,0.001,0.7,0.77,0.015,0.019,0.0277289164914192,0.0341704892755077,2.01260403199364
11,10,0.001,0.7,0.77,0.015,0.019,0.0275099236402033,0.0344902484028544,1.98252992482342
12,10,0.001,0.7,0.77,0.015,0.019,0.0270933970392605,0.0346520876968806,1.95177103759842
13,10,0.001,0.7,0.77,0.015,0.019,0.0264956700757925,0.0346673600296166,1.92046841093692
14,10,0.001,0.7,0.77,0.015,0.019,0.0257335033598605,0.0345479826908119,1.88871212422574
15,10,0.001,0.7,0.77,0.015,0.019,0.0248250316971451,0.0343065308280242,1.85685473437971
16,10,0.001,0.7,0.77,0.015,0.019,0.0237862944240279,0.0339531132711278,1.82513608946604
17,10,0.001,0.7,0.77,0.015,0.019,0.0226315451960558,0.0334963184202761,1.79377734419345
18,10,0.001,0.7,0.77,0.015,0.019,0.0213750476345583,0.0329441752913955,1.76281521226759
19,10,0.001,0.7,0.77,0.015,0.019,0.0200305315007597,0.0323038738375717,1.7322896797922
20,10,0.001,0.7,0.77,0.015,0.019,0.0186096001349338,0.0315808836905016,1.70206540734607
21,10,0.001,0.7,0.77,0.015,0.019,0.0171232666771599,0.0307805892948258,1.67222031673718
22,10,0.001,0.7,0.77,0.015,0.019,0.0155812075451003,0.0299079530248739,1.64289691649431
23,10,0.001,0.7,0.77,0.015,0.019,0.0139942451307393,0.0289687966902376,1.61402421861418
24,10,0.001,0.7,0.77,0.015,0.019,0.0123710239138688,0.027968003818195,1.5857302329073
25,10,0.001,0.7,0.77,0.015,0.019,0.0107196127604637,0.0269101884707198,1.55805690591098
26,10,0.001,0.7,0.77,0.015,0.019,0.00904878626141922,0.0258007998655089,1.53116928627573
27,10,0.001,0.7,0.77,0.015,0.019,0.00736650794091887,0.0246447677943436,1.50495324902179
28,10,0.001,0.7,0.77,0.015,0.019,0.00567993075939845,0.0234467302920095,1.47943356192512
29,10,0.001,0.7,0.77,0.015,0.019,0.00399626314452444,0.0222113186431891,1.45465633782932
30,10,0.001,0.7,0.77,0.015,0.019,0.00232211072886189,0.020942937956787,1.43070173963568
31,10,0.001,0.7,0.77,0.015,0.019,0.000663122202345359,0.019645327575213,1.40756894126747
32,10,0.001,0.7,0.77,0.015,0.019,-0.000975519197659376,0.0183223663989621,1.38529680841023
33,10,0.001,0.7,0.77,0.015,0.019,-0.00258840607514858,0.0169777088342282,1.36382394936084
34,10,0.001,0.7,0.77,0.015,0.019,-0.00417193229351275,0.015614098009227,1.34328706890156
35,10,0.001,0.7,0.77,0.015,0.019,-0.00572222271388929,0.0142344388607136,1.32377620489825
36,10,0.001,0.7,0.77,0.015,0.019,-0.007235629616264,0.0128416314619782,1.30511838625655
37,10,0.001,0.7,0.77,0.015,0.019,-0.00870901922872311,0.0114382070217168,1.28735958826533
38,10,0.001,0.7,0.77,0.015,0.019,-0.0101408241817996,0.0100256662023699,1.27043598585204
39,10,0.001,0.7,0.77,0.015,0.019,-0.0115283464199971,0.00860618993504692,1.254355384348
40,10,0.001,0.7,0.77,0.015,0.019,-0.0128699826544112,0.00718145057983404,1.23900103923865
41,10,0.001,0.7,0.77,0.015,0.019,-0.0141639497528187,0.00575305869781979,1.22445262179591
42,10,0.001,0.7,0.77,0.015,0.019,-0.0154085839136363,0.00432254443686033,1.21058662793542
43,10,0.001,0.7,0.77,0.015,0.019,-0.0166039303552252,0.00289069533176014,1.19737612581069
44,10,0.001,0.7,0.77,0.015,0.019,-0.0177488023632638,0.00145884246736954,1.1848190787108
45,10,0.001,0.7,0.77,0.015,0.019,-0.0188426229479561,2.78447044794627E-05,1.17299019195788
46,10,0.001,0.7,0.77,0.015,0.019,-0.0198846465565934,-0.00140120267064131,1.16172298008874
47,10,0.001,0.7,0.77,0.015,0.019,-0.0208747631362808,-0.00282779956460566,1.15094197526498
48,10,0.001,0.7,0.77,0.015,0.019,-0.0218137187542213,-0.00425182472544468,1.14077030000798
49,10,0.001,0.7,0.77,0.015,0.019,-0.0227015947337149,-0.00567274698782448,1.1310737819599
50,10,0.001,0.7,0.77,0.015,0.019,-0.0235383527691095,-0.00708994003191935,1.12197233038841
51,10,0.001,0.7,0.77,0.015,0.019,-0.0243249259715867,-0.00850347808772825,1.11321712421227
52,10,0.001,0.7,0.77,0.015,0.019,-0.0250606160993241,-0.00991239759052767,1.10494041526838
53,10,0.001,0.7,0.77,0.015,0.019,-0.0257468336167896,-0.0113170315876025,1.09704774965106
54,10,0.001,0.7,0.77,0.015,0.019,-0.0263839175313252,-0.0127171914149063,1.08955642215982
55,10,0.001,0.7,0.77,0.015,0.019,-0.0269725208025117,-0.014112526850058,1.08245535429318
56,10,0.001,0.7,0.77,0.015,0.019,-0.027513244949296,-0.0155030972739277,1.07566374206303
57,10,0.001,0.7,0.77,0.015,0.019,-0.0280066893230008,-0.0168886507521966,1.06919933852552
58,10,0.001,0.7,0.77,0.015,0.019,-0.0284537361936077,-0.0182691313275136,1.06302937457911
59,10,0.001,0.7,0.77,0.015,0.019,-0.0288544891359401,-0.0196442450263509,1.05710521054057
60,10,0.001,0.7,0.77,0.015,0.019,-0.0292097924174345,-0.0210141106577528,1.0515568438278
61,10,0.001,0.7,0.77,0.015,0.019,-0.0295208194979543,-0.0223787157503207,1.0462011796159
62,10,0.001,0.7,0.77,0.015,0.019,-0.0297879770232694,-0.0237379077035317,1.04102147866258
63,10,0.001,0.7,0.77,0.015,0.019,-0.0300118291908934,-0.0250915692263696,1.03613390868019
64,10,0.001,0.7,0.77,0.015,0.019,-0.030194118802273,-0.0264402545437065,1.0314492619608
65,10,0.001,0.7,0.77,0.015,0.019,-0.030334771027157,-0.0277836587198633,1.02692255654043
66,10,0.001,0.7,0.77,0.015,0.019,-0.0304346310909882,-0.0291217597320384,1.02267570375219
67,10,0.001,0.7,0.77,0.015,0.019,-0.0304948305323639,-0.0304548226862348,1.01854440805895
68,10,0.001,0.7,0.77,0.015,0.019,-0.0305156607952202,-0.0317826599137411,1.01461706644167
69,10,0.001,0.7,0.77,0.015,0.019,-0.030498344815446,-0.0331055417665129,1.01081464268316
70,10,0.001,0.7,0.77,0.015,0.019,-0.0304434697451882,-0.0344234316125681,1.00707779545059
71,10,0.001,0.7,0.77,0.015,0.019,-0.0303520631587421,-0.0357366304469138,1.0034436578687
72,10,0.001,0.7,0.77,0.015,0.019,-0.0302245499103361,-0.0370450600429558,0.999958647280163
73,10,0.001,0.7,0.77,0.015,0.019,-0.0300620078933362,-0.038348797694962,0.996519308563982
74,10,0.001,0.7,0.77,0.015,0.019,-0.02986502463161,-0.0396478770288133,0.993167172565333
75,10,0.001,0.7,0.77,0.015,0.019,-0.0296340161328646,-0.0409421505734325,0.989977475345868
76,10,0.001,0.7,0.77,0.015,0.019,-0.0293692996762686,-0.042231423621146,0.986925959816655
77,10,0.001,0.7,0.77,0.015,0.019,-0.0290717286056952,-0.0435158850205699,0.983923281846991
78,10,0.001,0.7,0.77,0.015,0.019,-0.0287417114996135,-0.0447954789747787,0.981000221646943
79,10,0.001,0.7,0.77,0.015,0.019,-0.0283802746895978,-0.0460705312205105,0.97815039601356
80,10,0.001,0.7,0.77,0.015,0.019,-0.0279878550178929,-0.0473409817389769,0.97535201051764
81,10,0.001,0.7,0.77,0.015,0.019,-0.0275646057134542,-0.0486066694234535,0.972700035666601
82,10,0.001,0.7,0.77,0.015,0.019,-0.0271112645560752,-0.0498676079571678,0.970056976292882
83,10,0.001,0.7,0.77,0.015,0.019,-0.0266285852357569,-0.051124039694049,0.967527129695801
84,10,0.001,0.7,0.77,0.015,0.019,-0.0261169620173432,-0.0523759093673863,0.965130547510921
85,10,0.001,0.7,0.77,0.015,0.019,-0.0255766933894903,-0.0536230388372074,0.962781484585653
86,10,0.001,0.7,0.77,0.015,0.019,-0.0250084211598628,-0.0548655685977508,0.96053003255018
87,10,0.001,0.7,0.77,0.015,0.019,-0.0244122613465594,-0.05610332743382,0.958296328431525
88,10,0.001,0.7,0.77,0.015,0.019,-0.023788544304473,-0.0573361764985636,0.956231959682388
89,10,0.001,0.7,0.77,0.015,0.019,-0.0231381787541059,-0.0585646267432867,0.954198444808587
