#itr,#feature,lrate,regUser,regItem,regBias,regGlbAvg,regSocial,RMSE(R),RMSE(Test)
1,10,0.009,0.0015,0.0015,0.01,0.01,5,0.731546522157657,1.73324802544674
2,10,0.009,0.0015,0.0015,0.01,0.01,5,0.982595070241165,1.42835882452973
3,10,0.009,0.0015,0.0015,0.01,0.01,5,0.963200271934473,1.23639512528151
4,10,0.009,0.0015,0.0015,0.01,0.01,5,0.884659243288502,1.1106513358355
5,10,0.009,0.0015,0.0015,0.01,0.01,5,0.808829889222433,1.03172911062751
6,10,0.009,0.0015,0.0015,0.01,0.01,5,0.755042676513908,0.982643723034347
7,10,0.009,0.0015,0.0015,0.01,0.01,5,0.721098861125484,0.949684441050209
8,10,0.009,0.0015,0.0015,0.01,0.01,5,0.698490727305608,0.925671543294569
9,10,0.009,0.0015,0.0015,0.01,0.01,5,0.682450901918558,0.907323706715568
10,10,0.009,0.0015,0.0015,0.01,0.01,5,0.670239621992182,0.893086463272702
11,10,0.009,0.0015,0.0015,0.01,0.01,5,0.660281694646734,0.881913264945352
12,10,0.009,0.0015,0.0015,0.01,0.01,5,0.651628276804063,0.872984787559746
13,10,0.009,0.0015,0.0015,0.01,0.01,5,0.643745059111009,0.86572497944229
14,10,0.009,0.0015,0.0015,0.01,0.01,5,0.636351289938984,0.859745674422525
15,10,0.009,0.0015,0.0015,0.01,0.01,5,0.629291300999257,0.854785200049577
16,10,0.009,0.0015,0.0015,0.01,0.01,5,0.622461256697307,0.850659260982536
17,10,0.009,0.0015,0.0015,0.01,0.01,5,0.615792827166958,0.847229731599048
18,10,0.009,0.0015,0.0015,0.01,0.01,5,0.609249713963044,0.844388083544632
19,10,0.009,0.0015,0.0015,0.01,0.01,5,0.602816272785082,0.842046874522314
20,10,0.009,0.0015,0.0015,0.01,0.01,5,0.596486271646556,0.840134837107704
21,10,0.009,0.0015,0.0015,0.01,0.01,5,0.59025764776828,0.838593409946254
22,10,0.009,0.0015,0.0015,0.01,0.01,5,0.584130321461496,0.837373932710723
23,10,0.009,0.0015,0.0015,0.01,0.01,5,0.57810536203026,0.836435341732617
24,10,0.009,0.0015,0.0015,0.01,0.01,5,0.572185040254797,0.835742388290558
25,10,0.009,0.0015,0.0015,0.01,0.01,5,0.566373075254564,0.835264389884649
26,10,0.009,0.0015,0.0015,0.01,0.01,5,0.560674629507648,0.834974432704931
27,10,0.009,0.0015,0.0015,0.01,0.01,5,0.555095871788012,0.834848866943009
28,10,0.009,0.0015,0.0015,0.01,0.01,5,0.54964294466381,0.834866942423799
29,10,0.009,0.0015,0.0015,0.01,0.01,5,0.544320555143177,0.835010495895643
30,10,0.009,0.0015,0.0015,0.01,0.01,5,0.539131074704871,0.835263654839715
31,10,0.009,0.0015,0.0015,0.01,0.01,5,0.534074822113579,0.835612547875045
32,10,0.009,0.0015,0.0015,0.01,0.01,5,0.529151092922653,0.836045029434569
33,10,0.009,0.0015,0.0015,0.01,0.01,5,0.52435893626154,0.836550435928979
34,10,0.009,0.0015,0.0015,0.01,0.01,5,0.519697206696358,0.837119382453051
35,10,0.009,0.0015,0.0015,0.01,0.01,5,0.515164185949531,0.837743594457815
36,10,0.009,0.0015,0.0015,0.01,0.01,5,0.510757283608632,0.83841576397722
37,10,0.009,0.0015,0.0015,0.01,0.01,5,0.506473051120816,0.839129425367831
38,10,0.009,0.0015,0.0015,0.01,0.01,5,0.502307442689808,0.839878851664858
39,10,0.009,0.0015,0.0015,0.01,0.01,5,0.498256152941215,0.840658973351021
40,10,0.009,0.0015,0.0015,0.01,0.01,5,0.494314891986565,0.841465316768618
41,10,0.009,0.0015,0.0015,0.01,0.01,5,0.490479527967438,0.842293953735752
42,10,0.009,0.0015,0.0015,0.01,0.01,5,0.486746102295854,0.843141452185967
43,10,0.009,0.0015,0.0015,0.01,0.01,5,0.483110780990042,0.844004821847984
44,10,0.009,0.0015,0.0015,0.01,0.01,5,0.479569814595602,0.844881455925045
45,10,0.009,0.0015,0.0015,0.01,0.01,5,0.47611954047299,0.845769074193868
46,10,0.009,0.0015,0.0015,0.01,0.01,5,0.472756416148077,0.846665672801985
47,10,0.009,0.0015,0.0015,0.01,0.01,5,0.469477054395905,0.847569483105422
48,10,0.009,0.0015,0.0015,0.01,0.01,5,0.46627823909204,0.848478938935865
49,10,0.009,0.0015,0.0015,0.01,0.01,5,0.463156918070659,0.849392650204129
50,10,0.009,0.0015,0.0015,0.01,0.01,5,0.460110181630674,0.850309380752296
