#itr,#feature,lrate,RMSE(R),RMSE(Test)
1,10,0.05,0.814353781541707,2.2801052256262
2,10,0.05,0.645403494513504,2.27930521885767
3,10,0.05,0.605356645993685,2.27847303813723
4,10,0.05,0.568181140228272,2.27757677143039
5,10,0.05,0.531707181687297,2.27671472254766
6,10,0.05,0.497596689260516,2.27578533518065
7,10,0.05,0.46698711075853,2.27466071728788
8,10,0.05,0.440206324323524,2.27333405152894
9,10,0.05,0.416944021876893,2.27182600129287
10,10,0.05,0.396582708842938,2.27011553710966
11,10,0.05,0.378741301762379,2.26815377279824
12,10,0.05,0.363057605696106,2.26590356953415
13,10,0.05,0.349254228533097,2.26339785470661
14,10,0.05,0.337052189582337,2.2607724266091
15,10,0.05,0.326210318826823,2.25818643864345
16,10,0.05,0.316490249756913,2.25571733533437
17,10,0.05,0.307702264503152,2.25336790442755
18,10,0.05,0.299658424825091,2.25115421468853
19,10,0.05,0.292289714844316,2.24909703504909
20,10,0.05,0.285545658682089,2.24715561950929
21,10,0.05,0.279335768055315,2.24531307610661
22,10,0.05,0.273499581111513,2.24351065927951
23,10,0.05,0.268177636178263,2.2416970363971
24,10,0.05,0.263269788661601,2.2398455008916
25,10,0.05,0.258599432435912,2.23795865260553
26,10,0.05,0.254108678043409,2.23606246587475
27,10,0.05,0.249890014517487,2.23417659406276
28,10,0.05,0.245920382409633,2.23231212727214
29,10,0.05,0.242185511110929,2.2304835148442
30,10,0.05,0.238675360696582,2.22870587857607
31,10,0.05,0.235375932926049,2.22699183439737
32,10,0.05,0.232273182401799,2.22535047138904
33,10,0.05,0.229354127810715,2.2237863940042
34,10,0.05,0.22660523011696,2.22229946419091
35,10,0.05,0.224011151149889,2.22088590616307
36,10,0.05,0.221555006861935,2.21953945996583
37,10,0.05,0.219219329502317,2.21825197961156
38,10,0.05,0.216988187725811,2.21701376984495
39,10,0.05,0.214850670292116,2.21581362106007
40,10,0.05,0.212802158896659,2.21463952237243
41,10,0.05,0.210839668443956,2.21348165376699
42,10,0.05,0.208957867227102,2.21233505280954
43,10,0.05,0.207150534041123,2.21119704525612
44,10,0.05,0.205412498530176,2.21006153603742
45,10,0.05,0.203740057268249,2.20891543147562
46,10,0.05,0.202130132842085,2.20774243558361
47,10,0.05,0.200579371724076,2.20653108045649
48,10,0.05,0.199084237113122,2.20527809799504
49,10,0.05,0.197642896225563,2.20398840828873
50,10,0.05,0.196252454893949,2.20267161157049
