#itr,#feature,lrate,regUser,regItem,regGlbAvg,RMSE(R),RMSE(Test)
1,10,0.005,0.0015,0.0015,0.01,0.947127438004689,1.75390042119129
2,10,0.005,0.0015,0.0015,0.01,1.10215380622603,1.56376834873112
3,10,0.005,0.0015,0.0015,0.01,1.12648883414491,1.40800100595066
4,10,0.005,0.0015,0.0015,0.01,1.08692427830442,1.28676970474149
5,10,0.005,0.0015,0.0015,0.01,1.02594670548021,1.19322379771937
6,10,0.005,0.0015,0.0015,0.01,0.964372655057139,1.12094838734914
7,10,0.005,0.0015,0.0015,0.01,0.908970637325278,1.06536556431817
8,10,0.005,0.0015,0.0015,0.01,0.861900277124825,1.02221692643719
9,10,0.005,0.0015,0.0015,0.01,0.823182615972928,0.988144051519688
10,10,0.005,0.0015,0.0015,0.01,0.791292573317453,0.96088961902385
11,10,0.005,0.0015,0.0015,0.01,0.764645899445155,0.93894022983487
12,10,0.005,0.0015,0.0015,0.01,0.742212303065708,0.921206456755242
13,10,0.005,0.0015,0.0015,0.01,0.723201587711941,0.906879434777118
14,10,0.005,0.0015,0.0015,0.01,0.707009565223098,0.895305339007788
15,10,0.005,0.0015,0.0015,0.01,0.69319787456671,0.885921958872256
16,10,0.005,0.0015,0.0015,0.01,0.6813669715939,0.878268772459462
17,10,0.005,0.0015,0.0015,0.01,0.671132557724199,0.871990309317331
18,10,0.005,0.0015,0.0015,0.01,0.662165952058762,0.866813972348688
19,10,0.005,0.0015,0.0015,0.01,0.654203928621455,0.862526729839454
20,10,0.005,0.0015,0.0015,0.01,0.647036534588687,0.85896011542636
21,10,0.005,0.0015,0.0015,0.01,0.640493543070895,0.855980934663734
22,10,0.005,0.0015,0.0015,0.01,0.634435418139437,0.853484428250635
23,10,0.005,0.0015,0.0015,0.01,0.628748321209185,0.851388546217268
24,10,0.005,0.0015,0.0015,0.01,0.623341261276085,0.84962903278507
25,10,0.005,0.0015,0.0015,0.01,0.618143732283053,0.848155317271572
26,10,0.005,0.0015,0.0015,0.01,0.613103001046272,0.846927232387949
27,10,0.005,0.0015,0.0015,0.01,0.608180952565954,0.845912534407848
28,10,0.005,0.0015,0.0015,0.01,0.60335083852195,0.845085124213196
29,10,0.005,0.0015,0.0015,0.01,0.598594371180566,0.844423798655123
30,10,0.005,0.0015,0.0015,0.01,0.593899424011083,0.843911343209686
31,10,0.005,0.0015,0.0015,0.01,0.589258346853792,0.843533816358352
32,10,0.005,0.0015,0.0015,0.01,0.5846667552498,0.843279936945914
33,10,0.005,0.0015,0.0015,0.01,0.58012262387662,0.843140533285571
34,10,0.005,0.0015,0.0015,0.01,0.575625537434089,0.843108040414802
35,10,0.005,0.0015,0.0015,0.01,0.571176003702751,0.843176049050144
36,10,0.005,0.0015,0.0015,0.01,0.566774818877178,0.843338921608742
37,10,0.005,0.0015,0.0015,0.01,0.562422562157676,0.843591493350889
38,10,0.005,0.0015,0.0015,0.01,0.558119315567062,0.843928867079256
39,10,0.005,0.0015,0.0015,0.01,0.553864633065898,0.844346293578142
40,10,0.005,0.0015,0.0015,0.01,0.54965768438184,0.844839117520076
41,10,0.005,0.0015,0.0015,0.01,0.545497454677117,0.845402765476447
42,10,0.005,0.0015,0.0015,0.01,0.541382908216545,0.846032756844312
43,10,0.005,0.0015,0.0015,0.01,0.537313081334216,0.846724724879014
44,10,0.005,0.0015,0.0015,0.01,0.533287113853719,0.847474440258051
45,10,0.005,0.0015,0.0015,0.01,0.529304244483092,0.848277832927264
46,10,0.005,0.0015,0.0015,0.01,0.525363793091747,0.849131009879345
47,10,0.005,0.0015,0.0015,0.01,0.521465144524154,0.850030267573719
48,10,0.005,0.0015,0.0015,0.01,0.517607742352457,0.850972098302441
49,10,0.005,0.0015,0.0015,0.01,0.513791097464375,0.851953190211694
50,10,0.005,0.0015,0.0015,0.01,0.510014812886657,0.852970421155678
