#itr,#feature,lrate,regUser,regItem,regBias,regGlbAvg,regSocial,RMSE(R),RMSE(Test)
1,10,0.009,0.0015,0.0015,0.01,0.01,5,0.701820341741122,1.79446616972472
2,10,0.009,0.0015,0.0015,0.01,0.01,5,0.967402832292934,1.44376188652222
3,10,0.009,0.0015,0.0015,0.01,0.01,5,0.971644212846123,1.23300846751064
4,10,0.009,0.0015,0.0015,0.01,0.01,5,0.894285434627816,1.10790983596263
5,10,0.009,0.0015,0.0015,0.01,0.01,5,0.818574201044554,1.02762628084535
6,10,0.009,0.0015,0.0015,0.01,0.01,5,0.759578862477032,0.979550732931835
7,10,0.009,0.0015,0.0015,0.01,0.01,5,0.722343049258932,0.947323091737112
8,10,0.009,0.0015,0.0015,0.01,0.01,5,0.698618238753514,0.92374045535156
9,10,0.009,0.0015,0.0015,0.01,0.01,5,0.682091854312285,0.905473986672084
10,10,0.009,0.0015,0.0015,0.01,0.01,5,0.669360103261341,0.891178828981075
11,10,0.009,0.0015,0.0015,0.01,0.01,5,0.658787213547586,0.879948510021295
12,10,0.009,0.0015,0.0015,0.01,0.01,5,0.649701559744619,0.870936683425752
13,10,0.009,0.0015,0.0015,0.01,0.01,5,0.641533005015405,0.863646155175929
14,10,0.009,0.0015,0.0015,0.01,0.01,5,0.633920707771415,0.857721141869783
15,10,0.009,0.0015,0.0015,0.01,0.01,5,0.626654567494474,0.852883051782326
16,10,0.009,0.0015,0.0015,0.01,0.01,5,0.619620155634343,0.848913574688363
17,10,0.009,0.0015,0.0015,0.01,0.01,5,0.612764001354283,0.845645566167666
18,10,0.009,0.0015,0.0015,0.01,0.01,5,0.606064531865773,0.842953457010988
19,10,0.009,0.0015,0.0015,0.01,0.01,5,0.599512186762322,0.840742565272756
20,10,0.009,0.0015,0.0015,0.01,0.01,5,0.593101573637047,0.838939745401048
21,10,0.009,0.0015,0.0015,0.01,0.01,5,0.586829906903485,0.837486719949218
22,10,0.009,0.0015,0.0015,0.01,0.01,5,0.580696710663924,0.836335782689992
23,10,0.009,0.0015,0.0015,0.01,0.01,5,0.574703267811339,0.835447065585584
24,10,0.009,0.0015,0.0015,0.01,0.01,5,0.568851765279562,0.834786739189536
25,10,0.009,0.0015,0.0015,0.01,0.01,5,0.563144360592512,0.834325776079962
26,10,0.009,0.0015,0.0015,0.01,0.01,5,0.557582411637544,0.834039069302916
27,10,0.009,0.0015,0.0015,0.01,0.01,5,0.552166052862044,0.833904779653759
28,10,0.009,0.0015,0.0015,0.01,0.01,5,0.546894156902208,0.833903832644804
29,10,0.009,0.0015,0.0015,0.01,0.01,5,0.541764557134286,0.834019518710459
30,10,0.009,0.0015,0.0015,0.01,0.01,5,0.536774341296065,0.83423717016466
31,10,0.009,0.0015,0.0015,0.01,0.01,5,0.531920083946455,0.834543897051078
32,10,0.009,0.0015,0.0015,0.01,0.01,5,0.527197984228811,0.834928367251469
33,10,0.009,0.0015,0.0015,0.01,0.01,5,0.522603938623617,0.835380619043203
34,10,0.009,0.0015,0.0015,0.01,0.01,5,0.518133592982307,0.835891897872119
35,10,0.009,0.0015,0.0015,0.01,0.01,5,0.513782404969697,0.836454512499405
36,10,0.009,0.0015,0.0015,0.01,0.01,5,0.50954572759045,0.837061708087455
37,10,0.009,0.0015,0.0015,0.01,0.01,5,0.50541890886092,0.837707555079345
38,10,0.009,0.0015,0.0015,0.01,0.01,5,0.501397395580685,0.838386853073685
39,10,0.009,0.0015,0.0015,0.01,0.01,5,0.497476827612126,0.839095048515111
40,10,0.009,0.0015,0.0015,0.01,0.01,5,0.493653109645459,0.839828164197985
41,10,0.009,0.0015,0.0015,0.01,0.01,5,0.489922450206693,0.840582737755075
42,10,0.009,0.0015,0.0015,0.01,0.01,5,0.486281364060157,0.841355765965063
43,10,0.009,0.0015,0.0015,0.01,0.01,5,0.482726643072908,0.842144652164251
44,10,0.009,0.0015,0.0015,0.01,0.01,5,0.479255308214616,0.842947155199945
45,10,0.009,0.0015,0.0015,0.01,0.01,5,0.475864557964218,0.843761339753635
46,10,0.009,0.0015,0.0015,0.01,0.01,5,0.47255172513987,0.844585528912082
47,10,0.009,0.0015,0.0015,0.01,0.01,5,0.469314247453223,0.845418260216868
