#itr,#feature,lrate,RMSE(R),RMSE(Test)
1,10,0.05,0.814262867402061,2.2782595472833
2,10,0.05,0.646615174059592,2.27691980051273
3,10,0.05,0.606345961783634,2.27515421877191
4,10,0.05,0.568863198533875,2.27274473573724
5,10,0.05,0.532264399924247,2.26974472719626
6,10,0.05,0.498195986358275,2.26660128283422
7,10,0.05,0.467583748175459,2.26376924232926
8,10,0.05,0.440581030879769,2.26142107052621
9,10,0.05,0.417132212934797,2.25945631761034
10,10,0.05,0.39691481999974,2.25771700193413
11,10,0.05,0.379357847902751,2.25610813033461
12,10,0.05,0.363857146154481,2.25453665302591
13,10,0.05,0.34993385312355,2.25296278631807
14,10,0.05,0.337411491724223,2.25141621839611
15,10,0.05,0.326205755154209,2.249913319223
16,10,0.05,0.316209093754454,2.24843466992162
17,10,0.05,0.307219270789663,2.2469606073456
18,10,0.05,0.299060126047857,2.2454872320064
19,10,0.05,0.291615125865781,2.2440237865857
20,10,0.05,0.284813790704452,2.24256525720513
21,10,0.05,0.278583535083656,2.24109810034507
22,10,0.05,0.272843033092849,2.23962115927431
23,10,0.05,0.267526548487864,2.23813611083163
24,10,0.05,0.26258677202459,2.23664401957521
25,10,0.05,0.257979432328865,2.23514084775178
26,10,0.05,0.253664349822271,2.23360925315168
27,10,0.05,0.249612827634819,2.23200944488408
28,10,0.05,0.245803417893604,2.23028449405161
29,10,0.05,0.242212678196943,2.22839084918915
30,10,0.05,0.238807241401896,2.22634654229085
31,10,0.05,0.235575988284342,2.22422988065425
32,10,0.05,0.232530091605508,2.22211171041718
33,10,0.05,0.229639928634681,2.22004164998543
34,10,0.05,0.226845928901062,2.21803482988491
35,10,0.05,0.224121268973711,2.21609190194877
36,10,0.05,0.221504317412595,2.21422431578688
37,10,0.05,0.218999964526887,2.21243128495089
38,10,0.05,0.216605739366658,2.21071601490546
39,10,0.05,0.214323639819328,2.20908334486778
40,10,0.05,0.212148486370887,2.20752303692491
41,10,0.05,0.2100724458939,2.20602466794268
42,10,0.05,0.208086619071428,2.2045832944268
43,10,0.05,0.206181046052054,2.20319653392868
44,10,0.05,0.204346836942456,2.20186207102152
45,10,0.05,0.202571484621762,2.20057689984632
46,10,0.05,0.20082989989279,2.19934190262723
47,10,0.05,0.199139156561289,2.19815433744431
48,10,0.05,0.197513373744431,2.19700324693641
49,10,0.05,0.19595224712011,2.19588161157816
50,10,0.05,0.194448602660406,2.19478362848463
