#itr,#feature,lrate,regUser,regItem,regGlbAvg,RMSE(R),RMSE(Test)
1,10,0.005,0.0015,0.0015,0.01,0.940582351170768,1.74713035289218
2,10,0.005,0.0015,0.0015,0.01,1.09643960661882,1.56175008474037
3,10,0.005,0.0015,0.0015,0.01,1.12410082702327,1.41468015809962
4,10,0.005,0.0015,0.0015,0.01,1.0899036792734,1.29609953981791
5,10,0.005,0.0015,0.0015,0.01,1.03283248890405,1.20442342934924
6,10,0.005,0.0015,0.0015,0.01,0.972377137279339,1.133882524607
7,10,0.005,0.0015,0.0015,0.01,0.91754877629954,1.07871476793597
8,10,0.005,0.0015,0.0015,0.01,0.871128941069927,1.03482190607386
9,10,0.005,0.0015,0.0015,0.01,0.832344942201372,0.999646891327215
10,10,0.005,0.0015,0.0015,0.01,0.799553712328304,0.971565904992445
11,10,0.005,0.0015,0.0015,0.01,0.771437149747808,0.949266881024153
12,10,0.005,0.0015,0.0015,0.01,0.747427832211564,0.931485321009548
13,10,0.005,0.0015,0.0015,0.01,0.72710076166997,0.917156273550275
14,10,0.005,0.0015,0.0015,0.01,0.709883908135975,0.905481510527161
15,10,0.005,0.0015,0.0015,0.01,0.695213862648244,0.895880380750151
16,10,0.005,0.0015,0.0015,0.01,0.682608297998543,0.887928754901764
17,10,0.005,0.0015,0.0015,0.01,0.671666694256633,0.881310744820274
18,10,0.005,0.0015,0.0015,0.01,0.662058306895511,0.875784648280734
19,10,0.005,0.0015,0.0015,0.01,0.653512356205135,0.871160203148714
20,10,0.005,0.0015,0.0015,0.01,0.645810103894049,0.867284168716874
21,10,0.005,0.0015,0.0015,0.01,0.638776763612993,0.864031697429875
22,10,0.005,0.0015,0.0015,0.01,0.632273480174915,0.861301037172805
23,10,0.005,0.0015,0.0015,0.01,0.626190374171318,0.859009681797206
24,10,0.005,0.0015,0.0015,0.01,0.62044093346512,0.85709106861486
25,10,0.005,0.0015,0.0015,0.01,0.614957517309297,0.855491620144156
26,10,0.005,0.0015,0.0015,0.01,0.609687687649844,0.854168168997837
27,10,0.005,0.0015,0.0015,0.01,0.604591156199823,0.853085803112038
28,10,0.005,0.0015,0.0015,0.01,0.599637209714577,0.852216113841918
29,10,0.005,0.0015,0.0015,0.01,0.594802537090468,0.851535793823618
30,10,0.005,0.0015,0.0015,0.01,0.590069420996548,0.851025522750315
31,10,0.005,0.0015,0.0015,0.01,0.58542427470967,0.850669086380651
32,10,0.005,0.0015,0.0015,0.01,0.58085650812742,0.850452685683112
33,10,0.005,0.0015,0.0015,0.01,0.576357698449719,0.850364402244951
34,10,0.005,0.0015,0.0015,0.01,0.571921024777611,0.850393791259567
35,10,0.005,0.0015,0.0015,0.01,0.56754091085162,0.850531576068988
36,10,0.005,0.0015,0.0015,0.01,0.563212814246345,0.850769420584387
37,10,0.005,0.0015,0.0015,0.01,0.55893310416933,0.85109975917551
38,10,0.005,0.0015,0.0015,0.01,0.554698979490493,0.851515667799291
39,10,0.005,0.0015,0.0015,0.01,0.550508391272963,0.852010764525689
40,10,0.005,0.0015,0.0015,0.01,0.546359949894894,0.852579131473353
41,10,0.005,0.0015,0.0015,0.01,0.542252814010201,0.853215253063468
42,10,0.005,0.0015,0.0015,0.01,0.538186571593034,0.853913967371598
43,10,0.005,0.0015,0.0015,0.01,0.534161127163197,0.854670428365416
44,10,0.005,0.0015,0.0015,0.01,0.53017660457683,0.855480077207737
45,10,0.005,0.0015,0.0015,0.01,0.526233267202064,0.856338620836874
46,10,0.005,0.0015,0.0015,0.01,0.522331452605062,0.857242015953018
47,10,0.005,0.0015,0.0015,0.01,0.518471518731633,0.85818645653803
48,10,0.005,0.0015,0.0015,0.01,0.514653800914851,0.859168363228722
49,10,0.005,0.0015,0.0015,0.01,0.510878580943643,0.860184373253085
50,10,0.005,0.0015,0.0015,0.01,0.507146069418548,0.861231330140668
