#itr;#feature;lrate;RMSE(R);RMSE(Test)
1;10;0.001;2.11172640884462;2.06921058720413
2;10;0.001;2.02632597074622;1.99040567618473
3;10;0.001;1.94502043755364;1.91823488334425
4;10;0.001;1.87033749929928;1.8526988146204
5;10;0.001;1.80178278893478;1.79263175228713
6;10;0.001;1.73836490721181;1.73701074986291
7;10;0.001;1.67930108740965;1.68514575309135
8;10;0.001;1.62407793001731;1.63660062509454
9;10;0.001;1.57236699638659;1.59109211198884
10;10;0.001;1.52394045333794;1.54841797626818
11;10;0.001;1.47861537448388;1.50841407153789
12;10;0.001;1.43622355631277;1.47093151783921
13;10;0.001;1.39659826656238;1.43582619710892
14;10;0.001;1.35957059824958;1.40295514509442
15;10;0.001;1.32497046703756;1.37217640726905
16;10;0.001;1.29262931557929;1.34335034592587
17;10;0.001;1.26238299689647;1.31634131361964
18;10;0.001;1.23407416954845;1.29101917232285
19;10;0.001;1.20755400674404;1.26726045622679
20;10;0.001;1.18268324590674;1.24494914102617
21;10;0.001;1.15933269180852;1.22397705794165
22;10;0.001;1.13738330375887;1.20424401773732
23;10;0.001;1.1167259847816;1.18565771303358
24;10;0.001;1.09726116858127;1.16813345990415
25;10;0.001;1.07889827771428;1.15159382912516
26;10;0.001;1.06155510725135;1.13596820682752
27;10;0.001;1.0451571731138;1.12119231501491
28;10;0.001;1.02963705282785;1.10720771478804
29;10;0.001;1.0149337379738;1.09396130907293
30;10;0.001;1.00099201141186;1.0814048569452
31;10;0.001;0.987761857859119;1.06949450801528
32;10;0.001;0.975197913118236;1.05819036255847
33;10;0.001;0.963258954883647;1.04745606095335
34;10;0.001;0.951907436326038;1.03725840438233
35;10;0.001;0.941109062406458;1.02756700753667
36;10;0.001;0.930832407967753;1.01835398316575
37;10;0.001;0.921048576002446;1.00959365764944
38;10;0.001;0.911730894038194;1.00126231629915
39;10;0.001;0.902854646267078;0.993337976767299
40;10;0.001;0.894396838842423;0.985800188732428
41;10;0.001;0.886335995650628;0.978629857904055
42;10;0.001;0.878651981820261;0.971809092335198
43;10;0.001;0.87132585224218;0.96532106902659
44;10;0.001;0.864339722431642;0.959149918840673
45;10;0.001;0.857676659158254;0.953280627805866
46;10;0.001;0.85132058839376;0.947698952974461
47;10;0.001;0.84525621827449;0.942391351094243
48;10;0.001;0.839468974939085;0.937344918460904
49;10;0.001;0.833944949277583;0.932547340431707
50;10;0.001;0.828670852809899;0.927986849198798
